name,x,y,z
Elkurn Fields,-245,72,-1217
Eltom,976,109,-5497
Emerald Trail,-543,69,-1601
Entrance to Kander,-879,49,-5274
Entrance to Olux,-1673,55,-5283
Entrance to Rodoroc,954,45,-5299
Entrance to Thesead North,673,80,-5014
Entrance to Thesead South,655,80,-5082
Factory Entrance,-1717,77,-2627
Fallen Factory,-1670,83,-2599
Fallen Village,-318,45,-5319
Field of Life,-851,51,-6089
Final Step,1305,83,-879
Fleris Trail,-1327,46,-4557
Forest of Eyes,895,79,-475
Forgotten Path,-1587,53,-4989
Forgotten Town,689,92,-427
Fortress North,-1358,45,-5341
Fortress South,-1390,51,-5124
Frozen Fort,1564,192,-4587
Fungal Grove,-532,49,-5341
Gateway to Nothing,1158,80,-961
Gelibord,-1002,49,-5281
Gelibord Castle,-1103,44,-5515
Gelibord Corrupted Farm,-1132,44,-5383
Gert Camp,-20,36,-5525
Ghostly Path,68,46,-4688
Goblin Plains East,-1588,53,-4952
Goblin Plains West,-1674,57,-4951
Great Bridge Jungle,-509,69,-690
Great Bridge Nesaak,-362,31,-668
Grey Ruins,585,92,-555
Guild Hall,-304,49,-4910
Gylia Lake North East,-41,30,-5352
Gylia Lake North West,-176,29,-5389
Gylia Lake South East,-51,34,-5240
Gylia Lake South West,-210,32,-5216
Half Moon Island,1076,37,-2579
Heart of Decay,-567,51,-5520
Heavenly Ingress,-828,58,-5981
Herb Cave,-510,66,-826
Hive,334,32,-5450
Hive South,484,29,-5392
Hobbit River,-882,44,-4503
Icy Descent,-241,25,-403
Icy Island,1078,58,-3332
Iron Road,-1631,62,-5033
Jitak's Farm,-164,34,-5472
Jofash Docks,1256,38,-4111
Jofash Tunnel,1255,50,-4321
Jungle Lake,-640,61,-892
Jungle Lower,-563,64,-691
Jungle Mid,-614,63,-649
Jungle Upper,-753,68,-711
Kander Mines,-756,46,-5169
Kandon Farm,675,89,-4640
Kandon Ridge,817,67,-4712
Kandon-Beda,747,112,-4466
Katoa Ranch,-810,69,-1914
Krolton's Cave,388,30,-4900
Lava Lake,1436,19,-5450
Lava Lake Bridge,1308,10,-5300
Leadin Fortress,-1361,53,-4782
Legendary Island,-1094,42,-2507
Lexdale,-593,63,-5441
Lexdales Prison,-815,85,-5524
Light Forest Canyon,-779,46,-4744
Light Forest East Lower,-889,45,-4671
Light Forest East Mid,-861,45,-4823
Light Forest East Upper,-889,59,-4883
Light Forest Entrance,-1115,45,-4642
Light Forest North Entrance,-1111,48,-4787
Light Forest North Exit,-717,45,-4820
Light Forest South Entrance,-1099,45,-4472
Light Forest South Exit,-681,48,-4675
Light Forest West Lower,-1006,45,-4538
Light Forest West Mid,-957,46,-4597
Light Forest West Upper,-977,47,-4806
Lighthouse Plateau,-1526,78,-2231
Lion Lair,868,24,-2315
Little Wood,-648,101,-1134
Llevigar,-1998,36,-4572
Llevigar Entrance,-2011,37,-4395
Llevigar Farm,-1597,49,-4772
Llevigar Farm Plains East,-1989,46,-4799
Llevigar Farm Plains West,-2155,49,-4805
Llevigar Gate East,-1990,36,-4655
Llevigar Gate West,-2062,43,-4703
Llevigar Plains East Lower,-2018,46,-4847
Llevigar Plains East Upper,-2005,54,-4968
Llevigar Plains West Lower,-2084,47,-4855
Llevigar Plains West Upper,-2118,57,-4964
Loamsprout Camp,-1691,52,-4695
Lone Farmstead,-987,54,-5226
Lost Atoll,-616,41,-3549
Luminous Plateau,-943,67,-6055
Lusuco,-198,30,-324
Lutho,973,78,-744
Mage Island,876,48,-2884
Maltic,-560,50,-1929
Maltic Coast,-462,37,-2021
Maltic Plains,-521,64,-1809
Mansion of Insanity,-1169,47,-5227
Mantis Nest,-789,30,-4668
Maro Peaks,159,40,-3823
Mesquis Tower,-778,59,-5034
Meteor Crater,-1708,57,-5033
Military Base,117,51,-5440
Military Base Lower,220,79,-5363
Military Base Upper,220,139,-5472
Mine Base Plains,572,73,-1206
Mining Base Lower,732,33,-1173
Mining Base Upper,778,32,-1309
Molten Heights Portal,1450,18,-5152
Molten Reach,1256,131,-4927
Mountain Edge,388,65,-4363
Mountain Path,319,124,-4355
Mummy's Tomb,1045,84,-2299
Mushroom Hill,-319,46,-5537
Nemract Cathedral,304,44,-2144
Nemract Plains East,51,61,-1837
Nemract Plains West,-30,60,-1872
Nemract Quarry,-76,80,-2017
Nemract Road,129,49,-1992
Nemract Town,127,42,-2190
Nesaak Bridge Transition,-215,70,-686
Nesaak Plains Lower North West,-89,71,-893
Nesaak Plains Mid North West,-161,69,-918
Nesaak Plains North East,140,73,-902
Nesaak Plains South East,147,75,-695
Nesaak Plains South West,-50,70,-770
Nesaak Plains Upper North West,-53,75,-1018
Nesaak Transition,246,86,-1083
Nesaak Village,112,75,-803
Nether Gate,285,34,-1280
Nether Plains Lower,300,90,-1195
Nether Plains Upper,269,70,-1441
Nexus of Light,-719,102,-6420
Nivla Woods,-256,70,-1574
Nivla Woods Edge,-56,68,-1592
Nivla Woods Entrance,-432,70,-1599
Nivla Woods Exit,-148,72,-1565
Nodguj Nation,815,61,-3358
North Farmers Valley,-278,78,-1996
North Nivla Woods,-116,73,-1723
Old Coal Mine,797,43,-4800
Old Crossroads North,-586,47,-5328
Old Crossroads South,-568,46,-5240
Olux,-1748,68,-5517
Orc Battlegrounds,-1350,51,-4883
Orc Lake,-1873,52,-4907
Orc Road,-1849,48,-4786
Otherwordly Monolith,-700,67,-6032
Path To Military Base,102,46,-5352
Path To Ozoth's Spire Lower,224,89,-5203
Path To Ozoth's Spire Mid,260,72,-5098
Path To Ozoth's Spire Upper,174,126,-5162
Path To Thanos,71,45,-5061
Path To The Arch,66,46,-4583
Path to Ahmsord Lower,839,113,-4538
Path to Ahmsord Upper,852,65,-4599
Path to Cinfras,-751,45,-4913
Path to Light,-792,51,-6117
Path to Talor,-730,48,-5327
Paths of Sludge,938,74,-821
Phinas Farm,-1712,73,-2117
Pigmen Ravines,-673,95,-1390
Pigmen Ravines Entrance,-874,75,-1384
Pirate Town,-673,37,-3159
Plains,-352,71,-1767
Plains Coast,-110,50,-2181
Plains Lake,474,80,-1324
Pre-Light Forest Transition,-1517,47,-4735
Primal Fen,-933,49,-6179
Quartz Mines North East,-1522,45,-4579
Quartz Mines North West,-1709,57,-4619
Quartz Mines South East,-1492,47,-4516
Quartz Mines South East,-1447,47,-4406
Quartz Mines South West,-1658,48,-4380
Ragni,-841,70,-1526
Ragni East Suburbs,-667,68,-1731
Ragni Main Entrance,-698,69,-1578
Ragni North Entrance,-866,63,-1824
Ragni North Suburbs,-783,64,-1815
Ragni Plains,-661,68,-1869
Raider's Base Lower,1454,102,-4299
Raider's Base Upper,1442,85,-4377
Ranol's Farm,756,47,-5441
Regular Island,1310,35,-3669
Road To Light Forest,-1291,45,-4614
Road To Mine,-1520,74,-2758
Road to Elkurn,-53,70,-1389
Road to Time Valley,-417,69,-1444
Rodoroc,1045,20,-5135
Rooster Island,-91,47,-2494
Royal Gate,-1914,59,-1768
Ruined Houses,-1739,79,-2506
Rymek East Lower,1339,33,-1317
Rymek East Mid,1315,33,-1444
Rymek East Upper,1254,87,-1662
Rymek West Lower,1161,33,-1302
Rymek West Mid,1072,33,-1420
Rymek West Upper,1135,95,-1607
Sablestone Camp,-1725,62,-4893
Sanctuary Bridge,-273,82,-1052
Santa's Hideout,1148,45,-3118
Savannah East Lower,868,72,-1705
Savannah East Upper,804,71,-1969
Savannah West Lower,724,79,-1747
Savannah West Upper,706,79,-1967
Selchar,125,68,-3190
Sinister Forest,989,83,-540
Skiens Island,393,46,-3413
Sky Castle,913,92,-4413
Sky Falls,1404,117,-4614
Sky Island Ascent,1265,103,-4446
Snail Island,985,137,-4814
South Farmers Valley,-440,54,-1927
South Nivla Woods,-266,69,-1424
South Pigmen Ravines,-744,100,-1284
Southern Outpost,-1353,97,-2286
Sunspark Camp,-1865,56,-5041
Swamp Dark Forest Transition Lower,-1555,53,-5216
Swamp Dark Forest Transition Mid,-1577,54,-5463
Swamp Dark Forest Transition Upper,-1585,54,-5519
Swamp East Lower,-2012,57,-5018
Swamp East Mid,-2007,59,-5139
Swamp East Mid-Upper,-1980,56,-5218
Swamp East Upper,-1974,57,-5366
Swamp Island,1143,108,-4796
Swamp Lower,-1702,63,-5191
Swamp Mountain Base,-1815,61,-5180
Swamp Mountain Transition Lower,-2164,56,-5511
Swamp Mountain Transition Mid,-2113,57,-5536
Swamp Mountain Transition Mid-Upper,-2030,57,-5550
Swamp Mountain Transition Upper,-1928,56,-5507
Swamp Plains Basin,-1834,56,-5301
Swamp West Lower,-2115,72,-5055
Swamp West Mid,-2074,59,-5143
Swamp West Mid-Upper,-2097,60,-5282
Swamp West Upper,-2097,60,-5353
Taproot Descent,-1296,46,-5496
Temple Island,1089,162,-4663
Temple of Legends,-693,76,-994
Temple of the Lost East,348,30,-4780
Ternaves,803,76,-1614
Ternaves Plains Lower,758,54,-1376
Ternaves Plains Upper,734,67,-1531
Thanos,193,8,-5242
Thanos Exit,292,53,-5242
Thanos Exit Upper,365,52,-5257
Thanos Valley West,265,96,-5378
The Bear Zoo,-335,41,-2499
The Broken Road,611,84,-851
The Gate,1308,108,-484
The Silent Road,602,78,-1062
Thesead,770,81,-5083
Thesead Suburbs,760,47,-5314
Tower of Ascension,-319,16,-384
Toxic Caves,949,125,-1067
Toxic Drip,980,78,-950
Tree Island,-388,46,-3831
Twain Lake,16,78,-459
Twain Mansion,95,76,-357
Twisted Housing,-1063,47,-5185
Twisted Ridge,-1012,45,-5505
Valley of the Lost,385,38,-4545
Viscera Pits East,-730,55,-5489
Viscera Pits West,-826,74,-5440
Void Valley,1178,134,-1143
Volcanic Slope,1409,71,-5614
Volcano Lower,-1023,43,-3657
Volcano Upper,-804,47,-3719
Worm Tunnel,584,73,-712
Wybel Island,1310,68,-4685
Zhight Island,-604,39,-2733
